iter	Passed	Remaining
838	1751	336
839	1752	333
840	1753	331
841	1755	329
842	1756	327
843	1760	325
844	1761	323
845	1763	320
846	1764	318
847	1765	316
848	1766	314
849	1768	312
850	1769	309
851	1770	307
852	1772	305
853	1774	303
854	1775	301
855	1776	298
856	1777	296
857	1779	294
858	1782	292
859	1783	290
860	1785	288
861	1786	285
862	1787	283
863	1788	281
864	1789	279
865	1791	277
866	1795	275
867	1796	273
868	1797	270
869	1798	268
870	1799	266
871	1801	264
872	1802	262
873	1805	260
874	1807	258
875	1808	255
876	1809	253
877	1810	251
878	1812	249
879	1813	247
880	1814	245
881	1820	243
882	1822	241
883	1823	239
884	1824	237
885	1825	234
886	1826	232
887	1828	230
888	1829	228
889	1831	226
890	1833	224
891	1834	222
892	1835	219
893	1837	217
894	1840	215
895	1842	213
896	1843	211
897	1844	209
898	1846	207
899	1847	205
900	1848	203
901	1849	200
902	1854	199
903	1855	197
904	1856	194
905	1858	192
906	1859	190
907	1860	188
908	1862	186
909	1866	184
910	1867	182
911	1868	180
912	1869	178
913	1871	176
914	1872	173
915	1874	171
916	1880	170
917	1882	168
918	1883	166
919	1884	163
920	1885	161
921	1889	159
922	1890	157
923	1892	155
924	1893	153
925	1894	151
926	1896	149
927	1897	147
928	1898	145
929	1901	143
930	1903	141
931	1904	138
932	1906	136
933	1907	134
934	1908	132
935	1909	130
936	1910	128
937	1918	126
938	1919	124
939	1921	122
940	1923	120
941	1926	118
942	1928	116
943	1929	114
944	1930	112
945	1932	110
946	1933	108
947	1934	106
948	1939	104
949	1941	102
950	1942	100
951	1943	98
952	1944	95
953	1946	93
954	1947	91
955	1952	89
956	1954	87
957	1955	85
958	1956	83
959	1957	81
960	1959	79
961	1961	77
962	1962	75
963	1963	73
964	1965	71
965	1966	69
966	1967	67
967	1968	65
968	1969	63
969	1971	60
970	1975	58
971	1976	56
972	1977	54
973	1978	52
974	1979	50
975	1981	48
976	1982	46
977	1986	44
978	1988	42
979	1989	40
980	1991	38
981	1992	36
982	1993	34
983	1994	32
984	1995	30
985	2000	28
986	2001	26
987	2003	24
988	2005	22
989	2007	20
990	2008	18
991	2012	16
992	2013	14
993	2015	12
994	2016	10
995	2018	8
996	2019	6
997	2023	4
998	2024	2
999	2026	0
